中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,348 Mbps,44544 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,36 ms,1296 Mbps,165888 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,20 ms,441 Mbps,56524 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,38 ms,273 Mbps,35020 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,85 ms,688 Mbps,88064 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,98 ms,33 Mbps,4254 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,72 ms,33 Mbps,4275 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,39 ms,673 Mbps,86220 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,367 Mbps,47001 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,79 ms,1496 Mbps,191488 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,7 ms,70 Mbps,8964 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,73 ms,920 Mbps,117760 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,131 ms,121 Mbps,15564 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,34 ms,864 Mbps,110592 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,47 Mbps,6057 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,45 ms,896 Mbps,114688 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,2176 Mbps,278528 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,73 ms,144 Mbps,18432 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,61 ms,331 Mbps,42393 kB/s
132.226.31.178,443,2a09:bac1:7680:e18::26b:68,US,Los Angeles,隧道,18 ms,48 Mbps,6219 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,680 Mbps,87040 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,30 ms,20 Mbps,2573 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,14 ms,175 Mbps,22425 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,83 ms,301 Mbps,38604 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,141 ms,136 Mbps,17408 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,131 ms,46 Mbps,6007 kB/s
138.2.141.187,443,2a0b:21c0:1007:ca:0:3ca7:dcdb:3dd4,DE,Frankfurt,隧道,157 ms,111 Mbps,14233 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,154 ms,7 Mbps,900 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,158 ms,65 Mbps,8408 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,131 ms,137 Mbps,17612 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,164 ms,151 Mbps,19353 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,190 Mbps,24371 kB/s
152.70.88.98,443,2a09:bac5:4753:1482::20b:4e,KR,Seoul,隧道,130 ms,40 Mbps,5167 kB/s
138.3.254.39,443,138.3.254.39,106 Mbps,13619 kB/s
138.3.254.39,,,隧道,0 ms,null Mbps,null kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,131 ms,10 Mbps,1378 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,131 ms,45 Mbps,5762 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:100,KR,Seoul,隧道,130 ms,134 Mbps,17203 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,147 ms,0 Mbps,33 kB/s
141.147.22.201,443,2a0b:21c0:100a:1b6:0:6474:8965:795b,DE,Frankfurt,隧道,157 ms,77 Mbps,9980 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,190 ms,3 Mbps,442 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,226 ms,101 Mbps,13004 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,157 ms,108 Mbps,13824 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,141 ms,38 Mbps,4938 kB/s
130.162.177.80,443,2a0b:21c0:1007:1c9:0:c43b:53c:7381,DE,Frankfurt,隧道,155 ms,89 Mbps,11468 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,172 ms,103 Mbps,13209 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,155 ms,16 Mbps,2060 kB/s
141.147.108.208,443,2a0b:21c0:100a:1b2:0:20fe:494f:2c3f,DE,Frankfurt,隧道,159 ms,77 Mbps,9901 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,224 ms,38 Mbps,4974 kB/s
