中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,34 ms,485 Mbps,62156 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,1728 Mbps,221184 kB/s
129.146.7.98,443,2a09:bac5:60ec:1173::1bd:fd,US,Los Angeles,隧道,25 ms,76 Mbps,9800 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,29 Mbps,3810 kB/s
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,49 ms,589 Mbps,75468 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,6 ms,896 Mbps,114688 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,29 ms,695 Mbps,88985 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,45 ms,318 Mbps,40755 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,19 ms,66 Mbps,8572 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,26 ms,636 Mbps,81510 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,254 Mbps,32563 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,66 ms,339 Mbps,43417 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,8 ms,678 Mbps,86835 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,189 Mbps,24268 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,67 ms,14 Mbps,1843 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,75 ms,443 Mbps,56729 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,78 ms,48 Mbps,6214 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,872 Mbps,111616 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,71 ms,46 Mbps,5905 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,136 ms,133 Mbps,17100 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,100 Mbps,12800 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,155 ms,141 Mbps,18124 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,181 ms,3 Mbps,439 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,164 ms,122 Mbps,15667 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,158 ms,188 Mbps,24166 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,137 ms,45 Mbps,5775 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,43 Mbps,5569 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:44,KR,Seoul,隧道,144 ms,40 Mbps,5179 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,149 ms,110 Mbps,14131 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,147 ms,151 Mbps,19353 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,155 ms,40 Mbps,5123 kB/s
130.61.23.77,443,130.61.23.77,DE,108 Mbps,13926 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,43 Mbps,5519 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,157 ms,8 Mbps,1098 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,174 ms,40 Mbps,5120 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,12 Mbps,1578 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,159 ms,40 Mbps,5244 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,167 ms,139 Mbps,17817 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,184 ms,29 Mbps,3765 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,196 ms,0 Mbps,103 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,182 ms,9 Mbps,1273 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,188 ms,88 Mbps,11264 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,132 Mbps,16998 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,221 ms,78 Mbps,10035 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,166 ms,145 Mbps,18636 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,123 ms,158 Mbps,20275 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,147 ms,27 Mbps,3502 kB/s
158.180.74.63,443,2602:ffe4:407:21d9:0:1ad7:51d1:c941,SG,Singapore,隧道,195 ms,79 Mbps,10137 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,162 ms,3 Mbps,439 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,268 ms,13 Mbps,1682 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,334 ms,0 Mbps,14 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,166 ms,2 Mbps,328 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,150 ms,42 Mbps,5455 kB/s
