中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.127.99.199,US,Seattle,隧道,24 ms,928 Mbps,118784 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,40 ms,280 Mbps,35942 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,2248 Mbps,287744 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,9 ms,226 Mbps,28979 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,26 ms,49 Mbps,6392 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,11 ms,685 Mbps,87756 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,59 ms,444 Mbps,56934 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,47 ms,678 Mbps,86835 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,82 ms,52 Mbps,6694 kB/s
35.230.79.26,443,35.212.201.120,US,Seattle,隧道,46 ms,928 Mbps,118784 kB/s
35.197.23.75,443,35.212.201.120,US,Seattle,隧道,38 ms,1024 Mbps,131072 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,35 ms,316 Mbps,40448 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,69 ms,324 Mbps,41574 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,9 ms,0 Mbps,110 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,74 ms,39 Mbps,5119 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,25 ms,1480 Mbps,189440 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,68 ms,374 Mbps,47923 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,167 Mbps,21401 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,71 ms,50 Mbps,6427 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,215 Mbps,27545 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,133 ms,46 Mbps,5946 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,182 ms,40 Mbps,5225 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,176 ms,118 Mbps,15155 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,155 ms,121 Mbps,15564 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,161 ms,116 Mbps,14950 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,159 ms,37 Mbps,4841 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,92 Mbps,11776 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,2 Mbps,368 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,158 ms,39 Mbps,5039 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,172 ms,120 Mbps,15462 kB/s
193.122.125.223,443,193.122.125.223,KR,Seoul,中转,147 ms,145 Mbps,18636 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,91 ms,30 Mbps,3873 kB/s
152.69.195.36,443,152.69.195.36,JP,Osaka,中转,168 ms,76 Mbps,9745 kB/s
158.178.238.239,443,104.28.222.43,SG,Singapore,隧道,192 ms,42 Mbps,5472 kB/s
152.70.175.161,443,163.123.193.6,DE,Frankfurt,隧道,183 ms,112 Mbps,14438 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,159 ms,44 Mbps,5647 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,110 ms,155 Mbps,19865 kB/s
8.222.178.144,443,47.236.58.234,SG,Singapore,隧道,178 ms,77 Mbps,9932 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,229 ms,39 Mbps,5068 kB/s
8.219.183.211,443,8.222.222.65,SG,Singapore,隧道,186 ms,86 Mbps,11059 kB/s
152.67.96.55,443,152.67.96.55,AU,Sydney,中转,156 ms,44 Mbps,5704 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,142 ms,136 Mbps,17510 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,186 ms,41 Mbps,5343 kB/s
8.219.194.158,443,8.219.142.198,SG,Singapore,隧道,207 ms,43 Mbps,5564 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,170 ms,100 Mbps,12800 kB/s
8.219.103.54,443,47.245.84.175,SG,Singapore,隧道,183 ms,71 Mbps,9130 kB/s
8.222.202.26,443,8.219.96.61,SG,Singapore,隧道,219 ms,92 Mbps,11776 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,200 ms,111 Mbps,14233 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,176 ms,127 Mbps,16281 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,140 ms,126 Mbps,16179 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,184 ms,96 Mbps,12288 kB/s
168.138.149.17,443,168.138.149.17,BR,S
