中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,49 ms,392 Mbps,50176 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,1176 Mbps,150528 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,52 ms,49 Mbps,6366 kB/s
129.146.7.98,443,2a09:bac5:60eb:1173::1bd:ed,US,Los Angeles,隧道,52 ms,90 Mbps,11571 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,404 Mbps,51814 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,349 Mbps,44748 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,56 ms,702 Mbps,89907 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,52 ms,443 Mbps,56729 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,54 ms,432 Mbps,55296 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,69 ms,291 Mbps,37273 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,44 ms,77 Mbps,9932 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,151 ms,1 Mbps,176 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,52 ms,403 Mbps,51609 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,106 ms,184 Mbps,23654 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,58 ms,424 Mbps,54374 kB/s
138.2.225.254,443,138.2.225.254,US,San Jose,中转,53 ms,396 Mbps,50688 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,80 ms,280 Mbps,35840 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,45 ms,296 Mbps,37990 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,79 ms,408 Mbps,52326 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,18 ms,1 Mbps,233 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,80 ms,289 Mbps,37068 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,69 ms,414 Mbps,53043 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,44 Mbps,5733 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,96 ms,184 Mbps,23552 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,176 Mbps,22528 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,323 Mbps,41369 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,104 ms,162 Mbps,20787 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,149 Mbps,19148 kB/s
157.254.252.198,443,157.254.252.198,JP,Tokyo,中转,147 ms,114 Mbps,14643 kB/s
47.91.18.127,443,47.91.18.127,JP,Tokyo,中转,146 ms,1 Mbps,153 kB/s
130.162.220.50,443,2a0b:21c0:1007:1cb:0:e00c:61c9:c8ec,DE,Frankfurt,隧道,109 ms,183 Mbps,23449 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,55 ms,432 Mbps,55398 kB/s
158.101.210.168,443,2a0b:21c0:100a:1f9:0:2a2b:8a07:5978,DE,Frankfurt,隧道,103 ms,192 Mbps,24678 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,173 ms,37 Mbps,4793 kB/s
138.2.148.6,443,2a0b:21c0:100a:1fa:0:dd7c:67e0:683a,DE,Frankfurt,隧道,113 ms,102 Mbps,13107 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,93 ms,35 Mbps,4557 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,117 ms,160 Mbps,20480 kB/s
130.162.219.22,443,2a0b:21c0:1007:1c9:0:5098:fda:97e,DE,Frankfurt,隧道,104 ms,172 Mbps,22016 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,97 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,105 ms,168 Mbps,21606 kB/s
