中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,356 Mbps,45670 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,399 Mbps,51097 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,693 Mbps,88780 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,34 ms,2304 Mbps,294912 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,39 ms,56 Mbps,7200 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,7 ms,67 Mbps,8621 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,15 ms,177 Mbps,22732 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,33 ms,688 Mbps,88166 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,29 ms,10 Mbps,1307 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,358 Mbps,45875 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,104 ms,928 Mbps,118784 kB/s
192.9.158.188,443,104.28.201.73,US,San Jose,隧道,64 ms,201 Mbps,25804 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,155 ms,136 Mbps,17408 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,136 ms,904 Mbps,115712 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,42 ms,14 Mbps,1829 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,73 ms,310 Mbps,39731 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,10 ms,1432 Mbps,183296 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,109 ms,928 Mbps,118784 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,42 ms,912 Mbps,116736 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,121 Mbps,15564 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,105 ms,327 Mbps,41881 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,128 ms,140 Mbps,17920 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,150 ms,112 Mbps,14336 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,128 ms,41 Mbps,5253 kB/s
141.147.72.109,443,2a0b:21c0:100a:1f9:0:8a34:2cc7:9e67,DE,Frankfurt,隧道,156 ms,107 Mbps,13721 kB/s
132.226.31.178,443,2a09:bac5:60ec:183c::26a:82,US,Los Angeles,隧道,37 ms,30 Mbps,3917 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,125 ms,174 Mbps,22323 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,216 ms,108 Mbps,13824 kB/s
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,150 ms,110 Mbps,14131 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,152 ms,43 Mbps,5537 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,129 ms,40 Mbps,5230 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,156 ms,16 Mbps,2166 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,161 ms,59 Mbps,7679 kB/s
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,153 ms,110 Mbps,14131 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,152 ms,98 Mbps,12595 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,226 ms,26 Mbps,3429 kB/s
193.122.117.159,443,193.122.117.159,KR,Seoul,中转,133 ms,43 Mbps,5506 kB/s
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,145 ms,128 Mbps,16384 kB/s
130.162.144.191,443,2a09:bac1:3f00:90::299:49,KR,Seoul,隧道,133 ms,36 Mbps,4654 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,156 ms,98 Mbps,12595 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,145 ms,38 Mbps,4943 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,151 ms,74 Mbps,9475 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,413 kB/s
193.123.189.25,443,2a0b:21c0:1007:c7:0:d834:1aff:fa9c,DE,Frankfurt,隧道,154 ms,114 Mbps,14643 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,141 ms,63 Mbps,8111 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,133 ms,4 Mbps,546 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,135 ms,132 Mbps,16896 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,172 ms,103 Mbps,13209 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,139 ms,41 Mbps,5331 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,101 Mbps,13004 kB/s
8.222.212.255,443,8.222.240.96,SG,Singapore,隧道,247 ms,46 Mbps,5970 kB/s
168.138.162.187,443,2603:c024:4509:ba23:441b:bc2a:e30f:2c83,SG,Singapore,隧道,168 ms,34 Mbps,4450 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,131 ms,126 Mbps,16179 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,156 ms,23 Mbps,2981 kB/s
138.3.254.39,443,138.3.254.39,121 Mbps,15564 kB/s
138.3.254.39,,,隧道,0 ms,null Mbps,null kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,128 ms,92 Mbps,11878 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,138 ms,125 Mbps,16076 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,73 ms,118 Mbps,15155 kB/s
144.22.252.124,443,144.22.252.124,BR,S
