中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,169 Mbps,21708 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,18 ms,880 Mbps,112640 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,588 Mbps,75366 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,51 ms,37 Mbps,4746 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,51 ms,451 Mbps,57753 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,52 ms,426 Mbps,54579 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,49 ms,427 Mbps,54681 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,55 ms,422 Mbps,54067 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,54 ms,419 Mbps,53657 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,384 Mbps,49152 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,107 ms,148 Mbps,19046 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,28 ms,479 Mbps,61337 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,57 ms,376 Mbps,48230 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,117 ms,332 Mbps,42496 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,100 ms,329 Mbps,42188 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,19 ms,459 Mbps,58777 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,225 Mbps,28876 kB/s
138.3.254.39,443,138.3.254.39,DE,180 Mbps,23040 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,203 Mbps,26009 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,19 ms,272 Mbps,34918 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,135 Mbps,17305 kB/s
130.61.23.77,443,130.61.23.77,,Frankfurt,中转,0 ms,149 Mbps,19148 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,172 ms,92 Mbps,11776 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,113 ms,102 Mbps,13107 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,51 ms,47 Mbps,6117 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,107 ms,43 Mbps,5584 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,149 ms,220 Mbps,28160 kB/s
144.21.62.48,443,98.98.166.174,AE,Frankfurt,隧道,107 ms,185 Mbps,23756 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,47 Mbps,6046 kB/s
129.146.251.53,443,2603:c020:d:2b01:cdfa:999a:db14:e7e8,US,Los Angeles,隧道,52 ms,409 Mbps,52428 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,161 ms,187 Mbps,23961 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,100 ms,165 Mbps,21196 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,101 ms,187 Mbps,23961 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,88 ms,367 Mbps,47001 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,197 ms,35 Mbps,4585 kB/s
152.70.88.98,443,2a09:bac5:4751:1a14::299:19,KR,Seoul,隧道,198 ms,33 Mbps,4348 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,173 ms,100 Mbps,12902 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,115 ms,41 Mbps,5298 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,72 ms,120 Mbps,15360 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,193 ms,38 Mbps,4959 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,169 ms,84 Mbps,10854 kB/s
152.67.44.30,443,152.67.44.30,BR,S
