中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.147.84.57,443,2a0b:21c0:100a:1b5:0:6936:3a6d:1aaa,DE,Frankfurt,隧道,89 ms,104 Mbps,13312 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,245 Mbps,31436 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,87 ms,639 Mbps,81817 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,558 Mbps,71475 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,18 ms,1 Mbps,137 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,62 ms,288 Mbps,36864 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,61 ms,336 Mbps,43110 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,295 Mbps,37785 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,4 ms,692 Mbps,88576 kB/s
138.3.254.39,443,138.3.254.39,,Frankfurt,中转,0 ms,232 Mbps,29696 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,88 ms,251 Mbps,32153 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,63 ms,346 Mbps,44339 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,45 ms,376 Mbps,48230 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,310 Mbps,39731 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,,隧道,0 ms,36 Mbps,4650 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,69 ms,99 Mbps,12697 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,308 Mbps,39526 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,130 ms,327 Mbps,41881 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,348 Mbps,44544 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:2f7,US,San Jose,隧道,120 ms,190 Mbps,24371 kB/s
132.226.31.178,443,2a09:bac5:60ef:183c::26a:88,US,Los Angeles,隧道,70 ms,40 Mbps,5162 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,93 ms,38 Mbps,4939 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,71 ms,35 Mbps,4534 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,236 Mbps,30310 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,156 ms,313 Mbps,40140 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,7 ms,466 Mbps,59699 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,46 Mbps,5961 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,87 ms,212 Mbps,27238 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,94 ms,45 Mbps,5835 kB/s
