中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,1 ms,120 Mbps,15462 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,603 Mbps,77209 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,523 Mbps,66969 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,1 ms,904 Mbps,115712 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,4 ms,34 Mbps,4473 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,65 ms,404 Mbps,51814 kB/s
129.146.46.164,443,129.146.46.164,266 Mbps,34099 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,248 Mbps,31744 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,3 ms,49 Mbps,6343 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,101 ms,214 Mbps,27443 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,284 Mbps,36352 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,43 Mbps,5547 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,227 Mbps,29081 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,67 ms,281 Mbps,36044 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,105 ms,336 Mbps,43008 kB/s
168.138.149.17,443,168.138.149.17,BR,S
