中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,498 Mbps,63795 kB/s
129.146.46.164,443,129.146.46.164,US,275 Mbps,35225 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,58 ms,322 Mbps,41267 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,66 ms,300 Mbps,38400 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,69 ms,288 Mbps,36966 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,245 Mbps,31436 kB/s
192.9.138.241,443,192.9.138.241,,colo.txt:San Jose,中转,0 ms,289 Mbps,37068 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,9 ms,37 Mbps,4862 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,239 Mbps,30617 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,352 Mbps,45056 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,49 ms,584 Mbps,74752 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,75 ms,584 Mbps,74752 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,73 ms,308 Mbps,39424 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,141 ms,228 Mbps,29184 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,448 Mbps,57446 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,22 ms,76 Mbps,9739 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,17 ms,71 Mbps,9151 kB/s
192.9.158.188,443,2a09:bac1:76c0:1cf0::1d3:1c,US,San Jose,隧道,186 ms,180 Mbps,23040 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,279 Mbps,35737 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,102 ms,42 Mbps,5485 kB/s
129.146.7.98,443,2a09:bac5:60ec:78::c:3a1,84 Mbps,10854 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,86 ms,310 Mbps,39731 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,133 Mbps,17100 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,283 Mbps,36249 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,65 ms,43 Mbps,5567 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,61 ms,47 Mbps,6085 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,236 Mbps,30208 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,242 Mbps,31027 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,42 Mbps,5412 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,91 ms,45 Mbps,5781 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,130 ms,216 Mbps,27750 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,63 ms,116 Mbps,14950 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,172 ms,1 Mbps,177 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,90 ms,193 Mbps,24780 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,125 ms,257 Mbps,32972 kB/s
150.230.122.76,443,150.230.122.76,GB,Manchester,中转,81 ms,220 Mbps,28262 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,170 ms,100 Mbps,12800 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,140 ms,46 Mbps,5919 kB/s
152.70.117.174,443,152.70.117.174,US,San Jose,中转,69 ms,337 Mbps,43212 kB/s
152.70.181.193,443,2a0b:21c0:1007:c9:0:a30d:15c5:bbe,DE,Frankfurt,隧道,91 ms,238 Mbps,30515 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,129 ms,12 Mbps,1636 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,42 Mbps,5383 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,92 ms,39 Mbps,5027 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,161 ms,108 Mbps,13824 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,199 ms,85 Mbps,10956 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,34 ms,55 Mbps,7055 kB/s
129.151.148.35,443,2a09:bac1:220:8::3c:1c,AE,Dubai,隧道,190 ms,31 Mbps,4069 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,185 ms,78 Mbps,10035 kB/s
130.162.46.44,443,98.98.166.186,US,Frankfurt,隧道,99 ms,220 Mbps,28262 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,208 ms,102 Mbps,13107 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,193 ms,84 Mbps,10752 kB/s
144.22.252.124,443,144.22.252.124,BR,S
