中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
132.226.31.178,443,2a09:bac5:60eb:1846::26b:30,US,Los Angeles,隧道,58 ms,37 Mbps,4836 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,21 ms,824 Mbps,105472 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,364 Mbps,46694 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,416 Mbps,53350 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,61 ms,367 Mbps,47001 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,62 Mbps,7998 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,655 Mbps,83865 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,29 ms,684 Mbps,87552 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,27 ms,1704 Mbps,218112 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,38 ms,1744 Mbps,223232 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,61 ms,370 Mbps,47411 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,11 ms,53 Mbps,6863 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,24 ms,880 Mbps,112640 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,42 ms,692 Mbps,88576 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,56 ms,65 Mbps,8431 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,204 Mbps,26112 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:2f2,US,San Jose,隧道,48 ms,223 Mbps,28569 kB/s
141.147.161.58,443,141.147.161.58,JP,Tokyo,中转,163 ms,96 Mbps,12288 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,169 ms,65 Mbps,8324 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,154 ms,44 Mbps,5757 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,77 ms,478 Mbps,61235 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::22:110,KR,Seoul,隧道,136 ms,2 Mbps,276 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,116 Mbps,14848 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,121 Mbps,15564 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,21 ms,920 Mbps,117760 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,150 ms,100 Mbps,12902 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,133 ms,144 Mbps,18432 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,81 ms,502 Mbps,64307 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,72 ms,55 Mbps,7086 kB/s
