中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,355 Mbps,45465 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,61 ms,336 Mbps,43008 kB/s
129.146.7.98,443,2a09:bac5:60ef:1846::26b:7c,US,Los Angeles,隧道,19 ms,82 Mbps,10547 kB/s
192.9.138.241,443,192.9.138.241,1656 Mbps,211968 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,71 ms,896 Mbps,114688 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,70 ms,8 Mbps,1099 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,38 ms,928 Mbps,118784 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,84 ms,51 Mbps,6533 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,67 ms,50 Mbps,6429 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,22 ms,880 Mbps,112640 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,42 ms,70 Mbps,9070 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,191 Mbps,24473 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,31 ms,596 Mbps,76390 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,57 ms,678 Mbps,86835 kB/s
192.9.158.188,443,2a09:bac5:6444:28::4:22f,US,San Jose,隧道,59 ms,198 Mbps,25395 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,28 ms,11 Mbps,1459 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,52 ms,396 Mbps,50790 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,25 ms,1000 Mbps,128000 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,71 ms,46 Mbps,5996 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,2280 Mbps,291840 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,124 Mbps,15974 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,358 Mbps,45875 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,129 ms,139 Mbps,17817 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,162 ms,41 Mbps,5369 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,129 ms,133 Mbps,17100 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,203 ms,36 Mbps,4637 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,105 Mbps,13516 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,165 ms,98 Mbps,12595 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,152 ms,104 Mbps,13414 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,216 ms,34 Mbps,4470 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,182 ms,121 Mbps,15564 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,15 ms,156 Mbps,20070 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,145 ms,99 Mbps,12697 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,134 ms,80 Mbps,10342 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,157 ms,41 Mbps,5249 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,178 ms,78 Mbps,10035 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,161 ms,99 Mbps,12697 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,158 ms,99 Mbps,12697 kB/s
144.21.35.5,443,98.98.156.34,DE,Frankfurt,隧道,157 ms,115 Mbps,14745 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,150 ms,123 Mbps,15769 kB/s
8.219.156.195,443,47.236.51.143,SG,Singapore,隧道,170 ms,103 Mbps,13209 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,156 ms,21 Mbps,2815 kB/s
8.219.101.43,443,8.222.220.238,SG,Singapore,隧道,171 ms,81 Mbps,10444 kB/s
8.219.120.232,443,8.219.142.198,SG,Singapore,隧道,180 ms,80 Mbps,10240 kB/s
141.148.233.185,443,2a0b:21c0:1007:c9:0:4ca7:ae89:6469,DE,Frankfurt,隧道,176 ms,111 Mbps,14233 kB/s
