中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,290 Mbps,37171 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,31 ms,525 Mbps,67276 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,113 ms,250 Mbps,32051 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,38 ms,89 Mbps,11468 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,65 ms,436 Mbps,55808 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,59 ms,496 Mbps,63590 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,51 ms,696 Mbps,89088 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,50 ms,464 Mbps,59494 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,64 ms,456 Mbps,58470 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,22 ms,64 Mbps,8270 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,425 Mbps,54476 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,20 ms,23 Mbps,2953 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,56 ms,534 Mbps,68403 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,51 ms,317 Mbps,40652 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,119 ms,231 Mbps,29593 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,122 ms,47 Mbps,6126 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,15 ms,140 Mbps,18022 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,61 ms,325 Mbps,41676 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,65 ms,440 Mbps,56320 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,270 Mbps,34611 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,127 ms,164 Mbps,21094 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,71 ms,52 Mbps,6775 kB/s
141.144.204.88,443,98.98.156.34,DE,Frankfurt,隧道,124 ms,197 Mbps,25292 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,200 Mbps,25702 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,119 ms,48 Mbps,6255 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,118 ms,40 Mbps,5193 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,52 ms,500 Mbps,64102 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,118 ms,204 Mbps,26112 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,120 ms,59 Mbps,7625 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,139 ms,200 Mbps,25702 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,140 Mbps,17920 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,58 ms,53 Mbps,6802 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,66 ms,414 Mbps,53043 kB/s
168.138.149.17,443,168.138.149.17,BR,S
