中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,49 ms,477 Mbps,61132 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,64 ms,52 Mbps,6691 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,1032 Mbps,132096 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,12 ms,686 Mbps,87859 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,6 Mbps,874 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,23 ms,824 Mbps,105472 kB/s
141.148.147.214,443,141.148.147.214,US,Los Angeles,中转,59 ms,49 Mbps,6273 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,396 Mbps,50790 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,399 Mbps,51097 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,72 ms,452 Mbps,57856 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,59 ms,48 Mbps,6255 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,65 ms,144 Mbps,18534 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,55 ms,468 Mbps,59904 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,62 ms,554 Mbps,70963 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,74 ms,497 Mbps,63692 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,227 Mbps,29081 kB/s
129.146.46.164,443,129.146.46.164,US,280 Mbps,35942 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,37 ms,45 Mbps,5839 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,128 ms,46 Mbps,5981 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,170 Mbps,21811 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,94 ms,353 Mbps,45260 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,46 ms,102 Mbps,13107 kB/s
47.254.17.234,443,47.254.17.234,US,San Jose,中转,76 ms,44 Mbps,5698 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,89 ms,256 Mbps,32768 kB/s
130.162.178.124,443,2a0b:21c0:1007:1c9:0:bf41:60ac:17a2,DE,Frankfurt,隧道,125 ms,104 Mbps,13312 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,44 ms,4 Mbps,634 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,124 ms,40 Mbps,5234 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,77 ms,337 Mbps,43212 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,23 ms,4 Mbps,553 kB/s
141.144.197.5,443,2a0b:21c0:1007:c8:0:2fdf:8c28:7dc7,DE,Frankfurt,隧道,115 ms,120 Mbps,15360 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,62 ms,3 Mbps,415 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,173 ms,132 Mbps,16998 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,122 ms,172 Mbps,22118 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,154 ms,74 Mbps,9520 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,216 ms,124 Mbps,15872 kB/s
144.22.252.124,443,144.22.252.124,BR,S
