中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,8 ms,2152 Mbps,275456 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,367 Mbps,47001 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,36 ms,664 Mbps,85094 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,35 ms,880 Mbps,112640 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,21 ms,1000 Mbps,128000 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,14 ms,848 Mbps,108544 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,23 ms,781 Mbps,100044 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,11 ms,779 Mbps,99737 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,32 ms,265 Mbps,33996 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,29 ms,22 Mbps,2836 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,70 ms,332 Mbps,42598 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,27 ms,420 Mbps,53760 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,404 Mbps,51814 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,77 ms,6 Mbps,837 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,115 ms,196 Mbps,25190 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,44 ms,664 Mbps,84992 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,9 ms,920 Mbps,117760 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,89 ms,41 Mbps,5359 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,158 ms,34 Mbps,4422 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,183 ms,104 Mbps,13414 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,131 ms,142 Mbps,18227 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,167 ms,155 Mbps,19865 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,133 ms,133 Mbps,17100 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,167 ms,128 Mbps,16486 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,22 ms,453 Mbps,58060 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,97 ms,30 Mbps,3956 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,153 ms,0 Mbps,44 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,165 ms,160 Mbps,20480 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,162 ms,28 Mbps,3618 kB/s
130.162.144.191,443,2a09:bac1:3f40:90::20b:8d,KR,Seoul,隧道,135 ms,41 Mbps,5259 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,142 ms,46 Mbps,5933 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,160 ms,38 Mbps,4967 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,157 ms,26 Mbps,3447 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,173 ms,41 Mbps,5309 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,162 ms,122 Mbps,15667 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,96 ms,4 Mbps,527 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,166 ms,106 Mbps,13619 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,16 ms,1560 Mbps,199680 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,33 ms,58 Mbps,7518 kB/s
193.123.60.41,443,2a0b:21c0:100a:1b1:0:59a:ab98:a27a,DE,Frankfurt,隧道,173 ms,102 Mbps,13107 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,98 ms,44 Mbps,5751 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,148 ms,155 Mbps,19865 kB/s
138.2.141.3,443,2606:f240:f00:2be4:0:aed0:c76a:4d34,US,Frankfurt,隧道,190 ms,112 Mbps,14336 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,172 ms,43 Mbps,5547 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,195 ms,3 Mbps,423 kB/s
141.144.202.248,443,2a0b:21c0:1007:1c7:0:dee9:a42c:dcf7,DE,Frankfurt,隧道,154 ms,112 Mbps,14336 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,182 ms,43 Mbps,5567 kB/s
144.22.252.124,443,144.22.252.124,BR,S
